budget_fraction,profit_target,trend_1w,regime
1.0,0.0,-1.4903225898742676,bear
1.0,0.0,-1.4521257877349854,bear
1.0,0.0,-1.3907557725906372,bear
1.0,0.0,-1.3587610721588135,bear
1.0,0.0,-1.4051315784454346,bear
1.0,0.0,-1.3146384954452515,bear
1.0,0.0,-1.3271766901016235,bear
1.0,0.0,-0.9638478755950928,bear
1.0,0.0,-0.9681891202926636,bear
1.0,0.0,-0.8753913044929504,bear
1.0,0.0,-0.8386618494987488,bear
1.0,0.0,-0.7952874898910522,bear
1.0,0.0,-0.9177365303039551,bear
1.0,0.0,-1.0863138437271118,bear
1.0,0.0,-1.0013195276260376,bear
1.0,0.0,-0.9447581768035889,bear
1.0,0.0,-0.9009955525398254,bear
1.0,0.0,-1.1605700254440308,bear
1.0,0.0,-1.292187213897705,bear
1.0,0.0,-1.071641206741333,bear
1.0,0.0,-0.9362257719039917,bear
1.0,0.0,-1.0362658500671387,bear
1.0,0.0,-1.033246636390686,bear
1.0,0.0,-0.8903337121009827,bear
1.0,0.0,-0.7249022126197815,bear
1.0,0.0,-0.8209084272384644,bear
1.0,0.0,-0.7954553961753845,bear
1.0,0.0,-0.8263380527496338,bear
1.0,0.0,-0.7677943110466003,bear
1.0,0.0,-0.7035906314849854,bear
1.0,0.0,-0.7911465764045715,bear
1.0,0.0,-0.8506072163581848,bear
1.0,0.0,-1.001184105873108,bear
1.0,0.0,-0.899419903755188,bear
1.0,0.0,-0.9685876965522766,bear
1.0,0.0,-0.949952244758606,bear
1.0,0.0,-1.0243961811065674,bear
1.0,0.0,-1.0661317110061646,bear
1.0,0.0,-0.874675989151001,bear
1.0,0.0,-0.9083232879638672,bear
1.0,0.0,-0.9249683618545532,bear
1.0,0.0,-0.9853936433792114,bear
1.0,0.0,-0.9299659729003906,bear
1.0,0.0,-0.9917886853218079,bear
1.0,0.0,-1.0097602605819702,bear
1.0,0.0,-1.0679128170013428,bear
1.0,0.0,-1.079580307006836,bear
1.0,0.0,-1.1309993267059326,bear
1.0,0.0,-1.350905418395996,bear
1.0,0.0,-1.3388862609863281,bear
1.0,0.0,-1.188207745552063,bear
1.0,0.0,-1.233353614807129,bear
1.0,0.0,-1.2186235189437866,bear
1.0,0.0,-1.1025772094726562,bear
1.0,0.0,-1.1643683910369873,bear
1.0,0.0,-1.1524152755737305,bear
1.0,0.0,-1.1943511962890625,bear
1.0,0.0,-1.1254013776779175,bear
1.0,0.0,-1.1765820980072021,bear
1.0,0.0,-1.132493019104004,bear
1.0,0.0,-1.5057748556137085,bear
1.0,0.0,-1.8016841411590576,bear
1.0,0.0,-0.9844169020652771,bear
1.0,0.0,-0.5591968894004822,bear
1.0,0.0,-0.7354819774627686,bear
1.0,0.0,-0.5561144351959229,bear
1.0,0.0,-0.4483572244644165,sideways
1.0,0.0,0.2733759880065918,sideways
1.0,0.0,1.462594985961914,bull
1.0,0.0,0.14930197596549988,sideways
1.0,0.0,0.7168632745742798,bull
1.0,0.0,1.0539360046386719,bull
1.0,0.0,0.8517293930053711,bull
1.0,0.0,0.7887603044509888,bull
1.0,0.0,0.7474617958068848,bull
1.0,0.0,0.7071665525436401,bull
1.0,0.0,0.6488393545150757,bull
1.0,0.0,0.5056631565093994,bull
1.0,0.0,0.28121161460876465,sideways
1.0,0.0,0.5028638243675232,bull
1.0,0.0,0.37950003147125244,sideways
1.0,0.0,0.32120048999786377,sideways
1.0,0.0,0.5973175764083862,bull
1.0,0.0,0.9552257657051086,bull
1.0,0.0,0.8559642434120178,bull
1.0,0.0,0.6137919425964355,bull
1.0,0.0,0.2297147512435913,sideways
1.0,0.0,0.37277787923812866,sideways
1.0,0.0,0.417040079832077,sideways
1.0,0.0,0.17650069296360016,sideways
1.0,0.0,-0.050567205995321274,sideways
1.0,0.0,0.030616655945777893,sideways
1.0,0.0,0.43598759174346924,sideways
1.0,0.0,-0.13551190495491028,sideways
1.0,0.0,-0.13049320876598358,sideways
1.0,0.0,-0.29301026463508606,sideways
1.0,0.0,-1.1853773593902588,bear
1.0,0.0,-0.717191755771637,bear
1.0,0.0,-0.75438392162323,bear
1.0,0.0,-0.3881848454475403,sideways
1.0,0.0,0.2650007903575897,sideways
1.0,0.0,0.2977861166000366,sideways
1.0,0.0,0.44532302021980286,sideways
1.0,0.0,0.1977093517780304,sideways
1.0,0.0,0.11864271014928818,sideways
1.0,0.0,0.11233871430158615,sideways
1.0,0.0,0.16574707627296448,sideways
1.0,0.0,-0.2949742376804352,sideways
