variant,path_id,test_groups,train_n,test_n,best_sharpe,best_return_pct,best_mdd_pct,best_n_trades,best_n_cycles,wallclock_sec
asym,8,"[1, 5]",35552,18031,0.6053230501908725,1.3559044236528917,3.032992312088777,126,58,346.7
asym,9,"[2, 3]",35723,18028,1.9230738686490763,6.280469880450119,3.059675629723008,130,62,231.1
asym,10,"[2, 4]",35387,18028,0.7895122841393185,1.845977083671952,3.1806826301332887,149,70,217.9
asym,11,"[2, 5]",35552,18031,0.9446661644453094,1.907039627531797,2.902530021116106,160,75,214.0
asym,12,"[3, 4]",35723,18028,1.6073953801010525,6.910261287700278,2.7957159548425277,141,67,266.1
asym,13,"[3, 5]",35552,18031,1.4063974211896837,1.3393031508140116,8.326888614907187,145,68,218.5
asym,14,"[4, 5]",35888,18031,0.503109691027696,0.8481483697564851,2.2462739571479178,123,59,306.8
dsr,0,"[0, 1]",35891,18028,1.7534930991682103,9.165719487819773,5.2319972586698436,64,28,407.1
dsr,1,"[0, 2]",35555,18028,1.40767693127372,7.657749742118196,11.674282547021754,120,47,419.6
dsr,2,"[0, 3]",35555,18028,1.6090233273886567,8.817372652493525,4.058767648262781,155,72,228.0
dsr,3,"[0, 4]",35555,18028,1.6641888308868964,10.474024651417915,4.87875760392822,124,52,327.8
dsr,4,"[0, 5]",35720,18031,0.9490539546570183,5.616370235370292,3.7379467488166234,154,69,328.6
dsr,5,"[1, 2]",35723,18028,1.834991283459979,11.351757989026872,8.227815774380085,86,33,420.1
dsr,6,"[1, 3]",35387,18028,1.8129407723266429,6.759952292476269,3.5123794722511006,119,52,291.5
dsr,7,"[1, 4]",35387,18028,1.041606157786188,3.802371645066922,5.300673843359485,71,23,423.6
dsr,8,"[1, 5]",35552,18031,0.8901187333505846,2.2065642186156986,2.790822907029106,110,51,315.2
dsr,9,"[2, 3]",35723,18028,1.897293461115332,6.699711335412476,3.071900346023503,143,66,248.2
dsr,10,"[2, 4]",35387,18028,0.9086103777554276,1.9096272288523555,2.957142622471447,100,47,282.6
dsr,11,"[2, 5]",35552,18031,0.9987892355159651,1.9690524136300702,2.532222441220672,118,56,242.6
dsr,12,"[3, 4]",35723,18028,1.7311177341286221,7.811664394051499,3.46930206196562,144,65,263.6
dsr,13,"[3, 5]",35552,18031,1.4966481414103694,1.9698566417881544,8.367102638118007,142,66,228.7
dsr,14,"[4, 5]",35888,18031,1.1982130900846184,2.1803468105172152,2.9222554032747325,118,53,418.1
pt,0,"[0, 1]",35891,18028,0.7825169392417497,4.97323189357054,3.513012733211004,72,32,392.0
pt,1,"[0, 2]",35555,18028,0.5846692251536966,4.276271244225334,4.860033670804815,165,76,223.0
pt,2,"[0, 3]",35555,18028,2.0433456030729955,8.398803602162356,3.0025036942887873,52,25,422.9
pt,3,"[0, 4]",35555,18028,1.1284967928441743,5.902286854293237,2.173483970532289,66,31,425.8
pt,4,"[0, 5]",35720,18031,0.8446196018791337,6.145507868740325,3.396517799565202,152,71,287.0
pt,5,"[1, 2]",35723,18028,0.711966606232699,1.5686587512143313,1.972137759276516,45,22,385.3
pt,6,"[1, 3]",35387,18028,1.6590566077012894,4.629756715574809,2.4789817149449833,49,23,384.4
pt,7,"[1, 4]",35387,18028,0.7536559470488529,1.697349794523415,2.2038029079695836,81,38,370.7
pt,8,"[1, 5]",35552,18031,0.5028376835586202,1.092805706014619,3.8097336628184086,173,79,224.3
pt,9,"[2, 3]",35723,18028,1.9400123856371256,6.3014138874668735,2.899402288123965,141,67,221.4
pt,10,"[2, 4]",35387,18028,0.8983469919677018,2.0815788294354465,2.8796579247814043,120,57,240.1
pt,11,"[2, 5]",35552,18031,0.9736152671945405,1.9242957837225383,2.7318722097147186,160,76,206.4
pt,12,"[3, 4]",35723,18028,1.6096481487708842,5.224790812867706,2.308165057880907,79,38,334.5
pt,13,"[3, 5]",35552,18031,1.3860011963251653,1.1567799656603435,8.353114627835357,149,70,233.6
pt,14,"[4, 5]",35888,18031,0.569291226591563,0.9343509731175793,1.7124363516942176,83,40,341.2
