source,variant,seed_or_path,test_sharpe,test_return_pct,test_mdd_pct,test_n_trades,test_n_cycles
exp034,asym,p14,0.23926869969631007,4.0985796060930335,5.351772986443302,1290,614
exp034,dsr,p00,-0.02470188467774554,-2.3718162495820816,21.99530648421875,485,215
exp034,dsr,p01,-0.08938487432330527,-8.537955617057069,28.401371677483183,973,367
exp034,dsr,p02,0.1079513711170335,1.3141875150213478,6.015400895995873,1451,676
exp034,dsr,p03,0.4050556420270966,9.211254276975932,16.061315522250393,1005,421
exp034,dsr,p04,0.15985423769373786,2.567417704620212,7.84285150301459,1500,692
exp034,dsr,p05,0.31338716560654284,8.922673456530038,18.491686222227653,641,260
exp034,dsr,p06,0.41479132520574297,8.026343239261834,4.926858283303848,1096,495
exp034,dsr,p07,-0.42823007844715827,-12.90367599469291,19.450653821144602,598,192
exp034,dsr,p08,0.22328359708758322,3.4088484311668665,5.817704248721151,906,428
exp034,dsr,p09,-0.15303608639191593,-4.073338573448471,8.647648742440047,1525,703
exp034,dsr,p10,0.17449344340145356,2.539907597293145,7.821001657165241,904,423
exp034,dsr,p11,0.1410812483495858,1.8988630899824388,5.575269857474829,1142,538
exp034,dsr,p12,-0.3269965991591985,-8.848661384620993,13.160381874431426,1606,709
exp034,dsr,p13,-0.11849258439280286,-3.5797626203132538,8.411486827488726,1512,698
exp034,dsr,p14,0.2553419988987636,4.992504224119698,8.759799818189155,1242,546
exp034,pt,p00,0.514492584662131,8.222872047289531,4.760213323364646,454,214
exp034,pt,p01,0.0461321475832662,-0.005857797632691231,7.016683838929315,1506,713
exp034,pt,p02,0.6758332617116666,10.964006617372025,5.260708894015929,416,195
exp034,pt,p03,1.0381651102978395,16.99480738800809,3.375722864753948,450,215
exp034,pt,p04,0.24210703134216202,4.184064276235078,4.734668508848372,1321,627
exp034,pt,p05,0.30308162755426005,3.7354420170170766,3.031194935442258,265,129
exp034,pt,p06,0.4685224450045519,6.6567753922257555,4.96159008965957,365,175
exp034,pt,p07,0.6731808035992185,11.12561847993514,3.7113397675258417,661,313
exp034,pt,p08,-0.046526982629675716,-2.0706267887747543,7.7425568365006106,1629,761
exp034,pt,p09,0.10514291768610133,1.254073624893004,6.513416119037623,1423,670
exp034,pt,p10,0.3180525741842433,5.5721908331896275,5.269086618900473,1133,540
exp034,pt,p11,0.002974924640803303,-0.9858054129666893,7.810234524657435,1580,741
exp034,pt,p12,0.315632160773936,4.890091858751977,4.385121295734461,795,376
exp034,pt,p13,-0.03650144515241251,-1.8148387567710977,8.168012606833924,1687,786
exp034,pt,p14,0.46338735979166285,8.391159910993817,4.553518897173088,865,409
atr_baseline,atr,-,-0.055235631100200265,-0.9821051906100497,8.039434684156493,1750,824
