number,value,datetime_start,datetime_complete,duration,params_A_b,params_A_s,params_B_b,params_B_s,params_C_b,params_C_s,params_D_b,params_D_s,state
39,9.59619569457308,2026-04-20 12:36:34.487272,2026-04-20 12:40:30.040652,0 days 00:03:55.553380,0.8108399056342127,0.9641274324690887,0.5615464967929329,1.9866819625797485,5.908704360527481,9.0447199931979,16.006472872980815,3.3160842318311907,COMPLETE
40,21.77087875743071,2026-04-20 12:40:30.185433,2026-04-20 12:46:31.750782,0 days 00:06:01.565349,1.041802597584422,0.2513976478332241,3.4318988420487884,0.5492351439990903,6.798074005197541,7.2944327162221025,21.518172442853245,2.000823337491834,COMPLETE
41,32.127802452020724,2026-04-20 12:46:31.911772,2026-04-20 12:52:25.609625,0 days 00:05:53.697853,0.4251563128861815,0.1593856985700378,1.2601706366478025,1.3401004668437522,5.170150120486122,6.293901850321374,18.63646790468159,2.975269908239145,COMPLETE
42,42.996563502102696,2026-04-20 12:52:25.735507,2026-04-20 12:58:16.425123,0 days 00:05:50.689616,0.28479452927534415,0.10063176622045211,1.7482817387957952,0.8899557096345365,5.222757804552794,6.912663942334109,18.6834295754441,5.456958434882407,COMPLETE
43,25.532099983655314,2026-04-20 12:58:16.565803,2026-04-20 13:04:04.402565,0 days 00:05:47.836762,0.2430797614287304,0.3918666883987052,1.7902083477085338,0.1603421302409611,8.042983976196018,5.086118354927479,20.14721071628498,5.416812932304336,COMPLETE
44,38.211838225437674,2026-04-20 13:04:04.539917,2026-04-20 13:09:55.693591,0 days 00:05:51.153674,0.10382141500664122,0.22444549445517237,2.4368176231165704,0.8660395848488479,4.293330255387085,6.055471620455114,19.076009263205584,6.791502118096432,COMPLETE
45,33.43685727139098,2026-04-20 13:09:55.828051,2026-04-20 13:15:47.142145,0 days 00:05:51.314094,0.11437464053252927,0.2513743771207285,2.199402350363399,0.8884302627055302,4.390240674141376,5.984469119072539,21.26156749840417,7.448916404559836,COMPLETE
46,6.158472815789234,2026-04-20 13:15:47.259364,2026-04-20 13:19:36.327676,0 days 00:03:49.068312,0.5416020110988687,1.9424718146692992,4.392947685927991,0.5978613053010786,6.478367071320062,4.477263384206041,18.560829848644005,9.756776241285626,COMPLETE
47,5.394809980188056,2026-04-20 13:19:36.445436,2026-04-20 13:23:29.155196,0 days 00:03:52.709760,2.9244485011492833,0.6067102989326605,2.6861841690992723,3.0659221981798495,3.980248939085459,5.49415901993874,23.416630954968742,6.296208709163603,COMPLETE
48,2.572938243357715,2026-04-20 13:23:29.276024,2026-04-20 13:27:06.667239,0 days 00:03:37.391215,0.24562021761143585,2.655368791445146,1.967621861249131,0.33329380638371786,6.1381551175257,6.44021920910907,19.579475140079403,4.3846934055436275,COMPLETE
49,12.650289193081246,2026-04-20 13:27:06.789416,2026-04-20 13:30:54.320554,0 days 00:03:47.531138,0.32478635481220514,0.8102021621881004,0.7830312426684198,1.969773161824245,2.78710935606477,9.942987940785798,20.806465730527453,12.062646982564809,COMPLETE
