buy_hi_coef,buy_lo_extra,sell_m_coef,sell_c_coef,trend_1w,regime
0.26152974367141724,0.0,0.0,0.0,-1.9395089149475098,bear
0.2611846327781677,0.0,0.0,0.0,-2.071988821029663,bear
0.27788853645324707,0.0,0.0,0.0,-2.00573992729187,bear
0.2941834330558777,0.0,0.0,0.0,-1.5710142850875854,bear
0.30029091238975525,0.0,0.0,0.0,-1.6883320808410645,bear
0.3057340681552887,0.0,0.0,0.0,-1.7739794254302979,bear
0.30433744192123413,0.0,0.0,0.0,-1.848962664604187,bear
0.3190734386444092,0.0,0.0,0.0,-2.183570623397827,bear
0.3820960223674774,0.0,0.0,0.027971990406513214,-1.5329856872558594,bear
0.44577106833457947,0.0,0.0,0.06580176949501038,-1.670518398284912,bear
0.46292784810066223,0.0,0.0,0.11502103507518768,-1.0534404516220093,bear
0.46200427412986755,0.0,0.0,0.07225733250379562,-1.4308619499206543,bear
0.4848090708255768,0.0,0.0,0.10753004252910614,-1.2919995784759521,bear
0.49608466029167175,0.00935707613825798,0.0,0.13205870985984802,-1.0464214086532593,bear
0.475600928068161,0.0,0.0,0.13079044222831726,-1.1581549644470215,bear
0.4731082618236542,0.0,0.0,0.1137358546257019,-1.2509194612503052,bear
0.47760963439941406,0.0,0.0,0.13327503204345703,-1.2418463230133057,bear
0.46319779753685,0.0,0.0,0.12228793650865555,-1.2053169012069702,bear
0.46518146991729736,0.0,0.0,0.12896007299423218,-1.242631435394287,bear
0.46193212270736694,0.0,0.0,0.1363556683063507,-1.259749174118042,bear
0.45513924956321716,0.0,0.0,0.12228582799434662,-1.2918928861618042,bear
0.4539351463317871,0.0,0.0,0.10378318279981613,-1.3678828477859497,bear
0.45747339725494385,0.0,0.0,0.1016492024064064,-1.325520396232605,bear
0.4448244869709015,0.0,0.0,0.11869216710329056,-1.2976855039596558,bear
0.44697341322898865,0.0,0.0,0.11251737177371979,-1.3583495616912842,bear
0.45035895705223083,0.0,0.0,0.13801252841949463,-1.205376386642456,bear
0.45853546261787415,0.0,0.0,0.16704747080802917,-1.05632746219635,bear
0.4469034969806671,0.0,0.0,0.1523403823375702,-1.1045016050338745,bear
0.4625811278820038,0.005253318697214127,0.0,0.20032384991645813,-0.964276134967804,bear
0.4643087089061737,0.018169719725847244,0.0,0.20684504508972168,-0.991300106048584,bear
0.4645644724369049,0.01233772560954094,0.0,0.20360231399536133,-0.9661595225334167,bear
0.4697154760360718,0.012470666319131851,0.0,0.19018462300300598,-1.0438206195831299,bear
0.4672245681285858,0.0,0.0,0.18498864769935608,-0.789618730545044,bear
0.4572370946407318,0.0,0.0,0.18669524788856506,-0.9457697868347168,bear
0.44977912306785583,0.0,0.0,0.17768606543540955,-0.9036545753479004,bear
0.46724608540534973,0.0,0.0,0.18960359692573547,-0.853952944278717,bear
0.46029162406921387,0.0,0.0,0.18841373920440674,-0.8843257427215576,bear
0.44866201281547546,0.0,0.0,0.17885258793830872,-0.9856399297714233,bear
0.45206472277641296,0.0,0.0,0.16580912470817566,-0.9440135955810547,bear
0.45820608735084534,0.0,0.0,0.07436151802539825,-1.5353926420211792,bear
0.4601251184940338,0.0,0.0,0.08720608800649643,-1.462999939918518,bear
0.4820115566253662,0.0,0.0,0.16014733910560608,-0.6313387751579285,bear
0.4778403639793396,0.0,0.0,0.11911806464195251,-0.9680989384651184,bear
0.4628918468952179,0.0,0.0,0.07873010635375977,-1.3821133375167847,bear
0.4679483473300934,0.0,0.0,0.06873574107885361,-1.4788161516189575,bear
0.4673157036304474,0.0,0.0,0.06756124645471573,-1.6984226703643799,bear
0.47096848487854004,0.0,0.0,0.0718589499592781,-1.6714116334915161,bear
0.45672962069511414,0.0,0.0,0.06965505331754684,-1.6890925168991089,bear
0.4648866355419159,0.0,0.0,0.11842038482427597,-1.3370578289031982,bear
0.4584827125072479,0.0,0.0,0.10445218533277512,-1.4754705429077148,bear
0.45026397705078125,0.0,0.0,0.11055400967597961,-1.4489827156066895,bear
0.45086774230003357,0.0,0.0,0.10752488672733307,-1.463423728942871,bear
0.44201239943504333,0.0,0.0,0.12138113379478455,-1.3610217571258545,bear
0.442356139421463,0.0,0.0,0.13019296526908875,-1.2467570304870605,bear
0.4421885907649994,0.0,0.0,0.1217222660779953,-1.3713034391403198,bear
0.4497545063495636,0.0,0.0,0.11495678126811981,-1.5145262479782104,bear
0.44252732396125793,0.0,0.0,0.12311213463544846,-1.48287832736969,bear
0.42473500967025757,0.0,0.0,0.10339657217264175,-1.8547390699386597,bear
0.42093685269355774,0.0,0.0,0.10648544877767563,-1.8148541450500488,bear
0.43168991804122925,0.0,0.0,0.10210968554019928,-1.929427146911621,bear
0.4334469139575958,0.0,0.0,0.14287877082824707,-1.2994654178619385,bear
0.4323040246963501,0.0,0.0,0.14944833517074585,-1.152113676071167,bear
0.4278660714626312,0.0,0.0,0.12436186522245407,-1.7119219303131104,bear
0.4397686719894409,0.01756890118122101,0.0,0.1695081889629364,-1.5448917150497437,bear
0.4439864754676819,0.009818360209465027,0.0,0.1566564440727234,-1.6283155679702759,bear
0.42885491251945496,0.0,0.0,0.12362322211265564,-1.8614637851715088,bear
0.42708489298820496,0.0,0.0,0.14306023716926575,-1.8825756311416626,bear
0.44053390622138977,0.012807797640562057,0.0,0.15109503269195557,-1.8049452304840088,bear
0.45516571402549744,0.04017465561628342,0.0,0.13490527868270874,-2.211979627609253,bear
0.4514634311199188,0.055143363773822784,0.0,0.15274456143379211,-2.1534500122070312,bear
0.4370262324810028,0.050443463027477264,0.0,0.15679976344108582,-2.222659111022949,bear
0.43627458810806274,0.04268693923950195,0.0,0.14940962195396423,-2.2835612297058105,bear
0.42559814453125,0.008528344333171844,0.0,0.14250445365905762,-2.159752130508423,bear
0.42968419194221497,0.021597757935523987,0.0,0.1481126844882965,-2.129455089569092,bear
0.4183899164199829,0.024022258818149567,0.0,0.16319602727890015,-2.0263795852661133,bear
